year,driver,team,pit_lap,compound_before,compound_after,position_before,position_after,position_delta
2019,GAS,RB,19,SOFT,HARD,7.0,10.0,-3.0
2019,GAS,RB,53,HARD,SOFT,13.0,15.0,-2.0
2019,GAS,RB,54,SOFT,UNKNOWN,15.0,,
2019,PER,Aston Martin,24,MEDIUM,HARD,8.0,14.0,-6.0
2019,LEC,Ferrari,20,MEDIUM,HARD,4.0,4.0,0.0
2019,LEC,Ferrari,42,HARD,SOFT,4.0,4.0,0.0
2019,STR,Aston Martin,9,MEDIUM,HARD,15.0,18.0,-3.0
2019,STR,Aston Martin,29,HARD,SOFT,11.0,16.0,-5.0
2019,MAG,Haas F1 Team,18,MEDIUM,HARD,14.0,16.0,-2.0
2019,MAG,Haas F1 Team,40,HARD,SOFT,15.0,16.0,-1.0
2019,ALB,Red Bull Racing,1,SOFT,MEDIUM,11.0,20.0,-9.0
2019,ALB,Red Bull Racing,20,MEDIUM,MEDIUM,9.0,12.0,-3.0
2019,ALB,Red Bull Racing,40,MEDIUM,SOFT,5.0,7.0,-2.0
2019,KVY,RB,21,HARD,MEDIUM,8.0,14.0,-6.0
2019,KVY,RB,39,MEDIUM,SOFT,13.0,13.0,0.0
2019,HUL,Alpine,27,HARD,MEDIUM,10.0,13.0,-3.0
2019,HUL,Alpine,39,MEDIUM,SOFT,12.0,12.0,0.0
2019,RIC,Alpine,21,SOFT,HARD,4.0,5.0,-1.0
2019,VER,Red Bull Racing,13,MEDIUM,HARD,2.0,3.0,-1.0
2019,VER,Red Bull Racing,34,HARD,MEDIUM,2.0,3.0,-1.0
2019,NOR,McLaren,19,SOFT,HARD,6.0,8.0,-2.0
2019,NOR,McLaren,42,HARD,MEDIUM,6.0,10.0,-4.0
2019,HAM,Mercedes,24,MEDIUM,HARD,2.0,3.0,-1.0
2019,VET,Ferrari,8,MEDIUM,UNKNOWN,20.0,,
2019,SAI,McLaren,18,SOFT,HARD,8.0,10.0,-2.0
2019,RUS,Williams,23,MEDIUM,HARD,18.0,18.0,0.0
2019,RUS,Williams,46,HARD,SOFT,18.0,18.0,0.0
2019,RAI,Kick Sauber,18,SOFT,HARD,9.0,12.0,-3.0
2019,RAI,Kick Sauber,40,HARD,SOFT,11.0,12.0,-1.0
2019,BOT,Mercedes,14,MEDIUM,HARD,1.0,2.0,-1.0
2019,BOT,Mercedes,35,HARD,MEDIUM,1.0,2.0,-1.0
2019,GRO,Haas F1 Team,24,MEDIUM,HARD,16.0,17.0,-1.0
2019,KUB,Williams,11,MEDIUM,HARD,18.0,19.0,-1.0
2019,KUB,Williams,31,HARD,UNKNOWN,19.0,,
2019,GIO,Kick Sauber,17,MEDIUM,HARD,16.0,18.0,-2.0
2019,GIO,Kick Sauber,39,HARD,SOFT,16.0,15.0,1.0
2021,VER,Red Bull Racing,10,MEDIUM,HARD,2.0,2.0,0.0
2021,VER,Red Bull Racing,29,HARD,HARD,1.0,2.0,-1.0
2021,HAM,Mercedes,13,MEDIUM,HARD,1.0,2.0,-1.0
2021,HAM,Mercedes,37,HARD,HARD,1.0,2.0,-1.0
2021,PER,Red Bull Racing,12,MEDIUM,MEDIUM,2.0,3.0,-1.0
2021,PER,Red Bull Racing,30,MEDIUM,HARD,3.0,3.0,0.0
2021,LEC,Ferrari,12,MEDIUM,HARD,3.0,4.0,-1.0
2021,LEC,Ferrari,32,HARD,HARD,3.0,4.0,-1.0
2021,RIC,McLaren,11,MEDIUM,HARD,5.0,6.0,-1.0
2021,RIC,McLaren,30,HARD,HARD,5.0,6.0,-1.0
2021,BOT,Mercedes,15,MEDIUM,HARD,5.0,9.0,-4.0
2021,BOT,Mercedes,34,HARD,HARD,5.0,7.0,-2.0
2021,SAI,Ferrari,11,SOFT,HARD,6.0,7.0,-1.0
2021,SAI,Ferrari,29,HARD,HARD,6.0,7.0,-1.0
2021,NOR,McLaren,10,MEDIUM,HARD,7.0,8.0,-1.0
2021,NOR,McLaren,30,HARD,HARD,6.0,8.0,-2.0
2021,TSU,RB,9,SOFT,HARD,8.0,12.0,-4.0
2021,TSU,RB,32,HARD,HARD,9.0,10.0,-1.0
2021,VET,Aston Martin,17,MEDIUM,MEDIUM,8.0,14.0,-6.0
2021,VET,Aston Martin,38,MEDIUM,HARD,9.0,12.0,-3.0
2021,GIO,Kick Sauber,8,MEDIUM,MEDIUM,11.0,15.0,-4.0
2021,GIO,Kick Sauber,26,MEDIUM,HARD,12.0,15.0,-3.0
2021,STR,Aston Martin,18,MEDIUM,MEDIUM,10.0,15.0,-5.0
2021,STR,Aston Martin,34,MEDIUM,HARD,12.0,14.0,-2.0
2021,RAI,Kick Sauber,12,MEDIUM,MEDIUM,6.0,14.0,-8.0
2021,RAI,Kick Sauber,31,MEDIUM,HARD,10.0,11.0,-1.0
2021,RUS,Williams,9,MEDIUM,HARD,13.0,16.0,-3.0
2021,RUS,Williams,31,HARD,HARD,13.0,15.0,-2.0
2021,LAT,Williams,5,MEDIUM,HARD,18.0,18.0,0.0
2021,LAT,Williams,25,HARD,HARD,16.0,17.0,-1.0
2021,MSC,Haas F1 Team,11,MEDIUM,HARD,14.0,18.0,-4.0
2021,MSC,Haas F1 Team,34,HARD,MEDIUM,16.0,18.0,-2.0
2021,MAZ,Haas F1 Team,1,MEDIUM,HARD,20.0,19.0,1.0
2021,MAZ,Haas F1 Team,24,HARD,MEDIUM,19.0,19.0,0.0
2021,MAZ,Haas F1 Team,37,MEDIUM,MEDIUM,19.0,19.0,0.0
2021,ALO,Alpine,7,MEDIUM,HARD,15.0,16.0,-1.0
2021,ALO,Alpine,28,HARD,HARD,11.0,14.0,-3.0
2021,ALO,Alpine,39,HARD,MEDIUM,11.0,13.0,-2.0
2021,ALO,Alpine,49,MEDIUM,UNKNOWN,13.0,,
2021,OCO,Alpine,3,MEDIUM,HARD,13.0,20.0,-7.0
2021,OCO,Alpine,25,HARD,MEDIUM,17.0,18.0,-1.0
2021,OCO,Alpine,40,MEDIUM,UNKNOWN,18.0,,
2021,GAS,RB,10,MEDIUM,HARD,8.0,12.0,-4.0
2021,GAS,RB,14,HARD,UNKNOWN,20.0,,
2022,VER,Red Bull Racing,13,MEDIUM,HARD,1.0,1.0,0.0
2022,VER,Red Bull Racing,35,HARD,MEDIUM,1.0,5.0,-4.0
2022,GAS,RB,11,MEDIUM,HARD,8.0,13.0,-5.0
2022,GAS,RB,32,HARD,HARD,7.0,17.0,-10.0
2022,PER,Red Bull Racing,14,MEDIUM,HARD,1.0,5.0,-4.0
2022,PER,Red Bull Racing,38,HARD,MEDIUM,1.0,5.0,-4.0
2022,ALO,Alpine,18,HARD,MEDIUM,7.0,9.0,-2.0
2022,ALO,Alpine,22,MEDIUM,HARD,14.0,16.0,-2.0
2022,LEC,Ferrari,18,MEDIUM,HARD,1.0,4.0,-3.0
2022,LEC,Ferrari,35,HARD,MEDIUM,2.0,4.0,-2.0
2022,STR,Aston Martin,15,MEDIUM,MEDIUM,3.0,8.0,-5.0
2022,MAG,Haas F1 Team,18,HARD,MEDIUM,12.0,15.0,-3.0
2022,TSU,RB,10,MEDIUM,MEDIUM,12.0,16.0,-4.0
2022,TSU,RB,33,MEDIUM,HARD,7.0,12.0,-5.0
2022,ALB,Williams,9,MEDIUM,MEDIUM,12.0,15.0,-3.0
2022,ALB,Williams,18,MEDIUM,HARD,15.0,17.0,-2.0
2022,ZHO,Kick Sauber,9,MEDIUM,HARD,14.0,17.0,-3.0
2022,ZHO,Kick Sauber,23,HARD,HARD,9.0,17.0,-8.0
2022,RIC,McLaren,10,MEDIUM,HARD,13.0,18.0,-5.0
2022,RIC,McLaren,35,HARD,HARD,11.0,17.0,-6.0
2022,OCO,Alpine,18,HARD,HARD,9.0,12.0,-3.0
2022,OCO,Alpine,45,HARD,MEDIUM,9.0,15.0,-6.0
2022,NOR,McLaren,14,MEDIUM,HARD,7.0,13.0,-6.0
2022,NOR,McLaren,34,HARD,HARD,7.0,13.0,-6.0
2022,HAM,Mercedes,12,MEDIUM,HARD,2.0,5.0,-3.0
2022,HAM,Mercedes,34,HARD,HARD,2.0,3.0,-1.0
2022,MSC,Haas F1 Team,18,HARD,MEDIUM,10.0,13.0,-3.0
2022,MSC,Haas F1 Team,33,MEDIUM,HARD,9.0,15.0,-6.0
2022,VET,Aston Martin,18,MEDIUM,MEDIUM,4.0,6.0,-2.0
2022,VET,Aston Martin,41,MEDIUM,HARD,2.0,13.0,-11.0
2022,SAI,Ferrari,1,MEDIUM,UNKNOWN,19.0,,
2022,LAT,Williams,5,MEDIUM,MEDIUM,19.0,19.0,0.0
2022,LAT,Williams,18,MEDIUM,HARD,18.0,18.0,0.0
2022,RUS,Mercedes,13,MEDIUM,HARD,2.0,6.0,-4.0
2022,RUS,Mercedes,36,HARD,HARD,2.0,6.0,-4.0
2022,RUS,Mercedes,54,HARD,SOFT,5.0,5.0,0.0
2022,BOT,Kick Sauber,10,MEDIUM,HARD,10.0,14.0,-4.0
2023,VER,Red Bull Racing,16,MEDIUM,MEDIUM,3.0,5.0,-2.0
2023,VER,Red Bull Racing,35,MEDIUM,HARD,1.0,3.0,-2.0
2023,NOR,McLaren,17,MEDIUM,HARD,1.0,4.0,-3.0
2023,NOR,McLaren,34,HARD,HARD,2.0,5.0,-3.0
2023,SAI,Ferrari,17,MEDIUM,MEDIUM,4.0,6.0,-2.0
2023,SAI,Ferrari,35,MEDIUM,HARD,3.0,5.0,-2.0
2023,PER,Red Bull Racing,17,MEDIUM,MEDIUM,6.0,8.0,-2.0
2023,PER,Red Bull Racing,37,MEDIUM,HARD,2.0,6.0,-4.0
2023,RUS,Mercedes,21,MEDIUM,HARD,3.0,7.0,-4.0
2023,RUS,Mercedes,39,HARD,MEDIUM,6.0,8.0,-2.0
2023,GAS,Alpine,18,MEDIUM,MEDIUM,5.0,9.0,-4.0
2023,GAS,Alpine,37,MEDIUM,HARD,8.0,10.0,-2.0
2023,STR,Aston Martin,20,HARD,MEDIUM,10.0,16.0,-6.0
2023,STR,Aston Martin,40,MEDIUM,MEDIUM,8.0,11.0,-3.0
2023,TSU,RB,17,MEDIUM,HARD,8.0,11.0,-3.0
2023,TSU,RB,34,HARD,MEDIUM,9.0,11.0,-2.0
2023,TSU,RB,54,MEDIUM,SOFT,10.0,10.0,0.0
2023,ALB,Williams,10,MEDIUM,HARD,11.0,15.0,-4.0
2023,ALB,Williams,29,HARD,MEDIUM,11.0,15.0,-4.0
2023,SAR,Williams,11,MEDIUM,HARD,12.0,17.0,-5.0
2023,SAR,Williams,32,HARD,MEDIUM,13.0,16.0,-3.0
2023,HUL,Haas F1 Team,19,HARD,MEDIUM,12.0,18.0,-6.0
2023,HUL,Haas F1 Team,34,MEDIUM,MEDIUM,12.0,14.0,-2.0
2023,BOT,Kick Sauber,10,MEDIUM,HARD,12.0,16.0,-4.0
2023,BOT,Kick Sauber,28,HARD,HARD,13.0,16.0,-3.0
2023,ZHO,Kick Sauber,9,MEDIUM,HARD,11.0,14.0,-3.0
2023,ZHO,Kick Sauber,27,HARD,HARD,16.0,17.0,-1.0
2023,MAG,Haas F1 Team,10,MEDIUM,HARD,13.0,18.0,-5.0
2023,MAG,Haas F1 Team,29,HARD,MEDIUM,16.0,18.0,-2.0
2023,RIC,RB,22,MEDIUM,HARD,7.0,16.0,-9.0
2023,RIC,RB,47,HARD,SOFT,15.0,17.0,-2.0
2023,ALO,Aston Martin,19,MEDIUM,MEDIUM,9.0,13.0,-4.0
2023,ALO,Aston Martin,42,MEDIUM,HARD,7.0,9.0,-2.0
2023,ALO,Aston Martin,49,HARD,UNKNOWN,11.0,,
2023,PIA,McLaren,10,MEDIUM,UNKNOWN,18.0,,
2023,OCO,Alpine,6,MEDIUM,UNKNOWN,20.0,,
2023,HAM,Mercedes,20,MEDIUM,HARD,1.0,4.0,-3.0
2023,HAM,Mercedes,38,HARD,MEDIUM,1.0,4.0,-3.0
2023,LEC,Ferrari,23,MEDIUM,HARD,1.0,6.0,-5.0
2024,VER,Red Bull Racing,25,MEDIUM,HARD,2.0,5.0,-3.0
2024,GAS,Alpine,18,MEDIUM,HARD,6.0,16.0,-10.0
2024,PER,Red Bull Racing,26,MEDIUM,HARD,6.0,9.0,-3.0
2024,ALO,Aston Martin,26,MEDIUM,HARD,11.0,17.0,-6.0
2024,LEC,Ferrari,26,MEDIUM,HARD,1.0,3.0,-2.0
2024,STR,Aston Martin,27,HARD,MEDIUM,13.0,18.0,-5.0
2024,MAG,Haas F1 Team,17,MEDIUM,HARD,7.0,15.0,-8.0
2024,MAG,Haas F1 Team,38,HARD,MEDIUM,9.0,12.0,-3.0
2024,TSU,RB,18,MEDIUM,HARD,9.0,17.0,-8.0
2024,ALB,Williams,3,MEDIUM,MEDIUM,17.0,19.0,-2.0
2024,ALB,Williams,33,MEDIUM,HARD,14.0,18.0,-4.0
2024,ZHO,Kick Sauber,13,MEDIUM,MEDIUM,19.0,19.0,0.0
2024,ZHO,Kick Sauber,35,MEDIUM,HARD,19.0,19.0,0.0
2024,HUL,Haas F1 Team,27,MEDIUM,HARD,6.0,12.0,-6.0
2024,LAW,RB,36,HARD,MEDIUM,7.0,10.0,-3.0
2024,OCO,Alpine,31,MEDIUM,HARD,12.0,16.0,-4.0
2024,OCO,Alpine,51,HARD,SOFT,15.0,18.0,-3.0
2024,NOR,McLaren,31,MEDIUM,HARD,1.0,4.0,-3.0
2024,COL,Williams,39,HARD,MEDIUM,8.0,11.0,-3.0
2024,SAI,Ferrari,21,MEDIUM,HARD,3.0,5.0,-2.0
2024,RUS,Mercedes,40,HARD,MEDIUM,6.0,8.0,-2.0
2024,BOT,Kick Sauber,15,MEDIUM,HARD,15.0,18.0,-3.0
2024,PIA,McLaren,32,MEDIUM,HARD,2.0,5.0,-3.0
2025,VER,Red Bull Racing,33,MEDIUM,SOFT,1.0,1.0,0.0
2025,GAS,Alpine,27,MEDIUM,SOFT,13.0,18.0,-5.0
2025,ANT,Mercedes,31,MEDIUM,SOFT,10.0,17.0,-7.0
2025,ALO,Aston Martin,30,MEDIUM,SOFT,9.0,11.0,-2.0
2025,LEC,Ferrari,22,SOFT,MEDIUM,4.0,9.0,-5.0
2025,STR,Aston Martin,28,SOFT,MEDIUM,12.0,16.0,-4.0
2025,TSU,Red Bull Racing,29,MEDIUM,SOFT,7.0,8.0,-1.0
2025,ALB,Williams,7,HARD,MEDIUM,17.0,19.0,-2.0
2025,ALB,Williams,36,MEDIUM,SOFT,10.0,16.0,-6.0
2025,HUL,Kick Sauber,33,MEDIUM,SOFT,5.0,8.0,-3.0
2025,LAW,RB,30,MEDIUM,SOFT,10.0,12.0,-2.0
2025,OCO,Haas F1 Team,24,HARD,MEDIUM,17.0,19.0,-2.0
2025,NOR,McLaren,32,MEDIUM,SOFT,2.0,3.0,-1.0
2025,COL,Alpine,32,MEDIUM,SOFT,11.0,19.0,-8.0
2025,HAM,Ferrari,31,MEDIUM,SOFT,3.0,4.0,-1.0
2025,BOR,Kick Sauber,14,SOFT,MEDIUM,13.0,19.0,-6.0
2025,BOR,Kick Sauber,36,MEDIUM,SOFT,15.0,19.0,-4.0
2025,HAD,RB,28,HARD,SOFT,16.0,19.0,-3.0
2025,RUS,Mercedes,33,MEDIUM,SOFT,2.0,6.0,-4.0
2025,PIA,McLaren,30,MEDIUM,SOFT,4.0,7.0,-3.0
2025,BEA,Haas F1 Team,30,MEDIUM,SOFT,7.0,9.0,-2.0
